hpx6,n_stars,avg_parallax
46626,5336,0.7721764153138333
46710,5047,0.8272491134019064
46694,5336,0.7784368465795605
46640,6271,0.8007766166624795
46701,5454,0.8324096404637406
46654,5945,0.7860256809124421
46695,5389,0.805068504992782
46628,6257,0.7899289937985265
46713,5045,0.8197721395463238
46702,5495,0.8318645450419162
46688,5341,0.8243939773653127
46716,4966,0.7778948310489225
46697,5573,0.8048212240394749
46631,6146,0.767353399617406
46668,4834,0.8100896194892269
46721,6853,0.7649152190362197
46643,6414,0.779417538134835
46646,5779,0.8036635686845252
46676,4619,0.8596466843653702
46648,6408,0.7094177333810101
46673,4601,0.8318918571641443
46651,6636,0.771916190310746
46714,5228,0.7913671189990532
46664,5114,0.8480906285718526
46718,4962,0.8672485074541079
46700,5394,0.7993981787519693
46634,6867,0.7319823630136778
46677,4470,0.8453338286251956
46681,5060,0.8566663184911409
46671,4943,0.8471654205926185
46658,4987,0.8403460224969518
46719,4964,0.8117437571237278
46637,6206,0.7292234586082748
46690,5639,0.8530784026733768
46665,4966,0.8173752523362984
46696,5627,0.7920279614446973
46630,6389,0.7733524528236908
46715,5054,0.8010027093715788
46659,5044,0.819283562993827
46712,5457,0.8086322032999725
46639,6709,0.7515305783812282
46708,4935,0.8052461673277541
46678,4712,0.8573404950348419
46680,4900,0.8750929436290573
46632,6600,0.7804377297228401
46675,4930,0.8370266574787404
46663,4817,0.8754260059226817
46652,6183,0.783776656605074
46649,6247,0.7630763223344866
46693,5107,0.770157013468626
46692,5151,0.7987768630883616
46679,4388,0.8623580978142178
46642,6388,0.7714203382429176
46670,5102,0.8298769116542827
46709,4621,0.870460819628992
46723,6937,0.7164058059529915
46667,5147,0.8208204580732725
46636,6507,0.7414826003901709
46687,4754,0.8198180051014788
46653,5852,0.7890363750440558
46627,6328,0.7656392278849585
46655,5674,0.7765742348180863
46683,4959,0.8582036315139412
46650,6410,0.7596718592795221
46669,4862,0.8421773857866249
46641,6190,0.7496187038924188
46645,5464,0.8171580890505842
46686,4640,0.8357305494691921
46691,5407,0.8053877215990075
24385,22585,0.44259637242587624
24372,28916,0.40611235102653176
24376,33308,0.4683669242482774
24375,43945,0.39382569683164226
24384,32403,0.43703747205481297
24378,28764,0.5027383177053997
24374,43717,0.40275526411161294
24373,39038,0.41327703553577555
24379,43224,0.39413725887032564
24380,43712,0.39940475400232384
24381,44118,0.4039377694419878
24377,41519,0.41616203166368165
24382,44578,0.3939061648669186
24383,44239,0.40043515746501046
40185,16568,0.5559361732175092
40198,11693,0.6441274819588155
40190,14582,0.6090907454397794
40179,14847,0.6075716337737755
40183,13330,0.6220320801025659
40193,13155,0.6030776196037363
40177,14637,0.5817305093510211
40187,16084,0.576693415886848
40192,14056,0.5770664476459798
40200,12502,0.5971534067131687
40189,13589,0.6220047915104543
40172,22574,0.4978524001798348
40178,18603,0.5623751431300557
40181,13545,0.6076983500816932
40171,26824,0.47320375461927894
40182,13604,0.5836147371664113
40174,23299,0.49410072667792
40180,13994,0.6101854549363377
40175,19989,0.510140282531326
40170,30700,0.4580821453140186
40196,12016,0.6304590621143598
40195,13024,0.610346939942405
40199,10745,0.685525698049656
40186,17961,0.5479139223570791
40194,14180,0.5796661222252775
40191,13330,0.6206921130968577
40197,10950,0.6710502951861139
40176,17808,0.5393022312768544
40169,16212,0.45649621250843
40173,20088,0.5309758212738401
40184,18162,0.5580459263356143
40188,13915,0.602484115002343
31028,27075,0.48587994921635513
31037,30695,0.42834277276276395
31031,32978,0.443848596401099
31033,25655,0.4546321874764778
31021,26106,0.4392523790237151
31034,24695,0.45741572440717854
31019,4073,0.4126496855332885
31029,32507,0.4497419856440454
31038,25395,0.47215522081977424
31026,27081,0.46080672653067034
31030,24163,0.5071963814806401
31032,27500,0.44689256969489993
31023,25128,0.4669928872515645
31020,24855,0.45833872936304093
31022,25852,0.4534365971681357
31035,24951,0.4831713077670026
31039,24299,0.4774925492980569
31036,25508,0.46240277540189356
31025,21602,0.5214130525720041
31024,27819,0.47047331824251726
31027,22257,0.502193774613446
15446,68364,0.399616412129274
15452,6154,0.37456545732327523
15451,95151,0.3532507602124743
15448,109909,0.3509182492956094
15449,96373,0.37076827031976667
15450,79110,0.3682582465064287
15447,65991,0.43714003298654086
32415,10901,0.6502615312441353
32418,8492,0.6401413789894931
32433,9965,0.6330680920519542
32428,8726,0.6749838270372153
32422,8947,0.6713733667358135
32410,10344,0.6249336733598552
32403,11577,0.6045314845812362
32421,9920,0.6472972022497037
32424,8222,0.687335771876525
32452,14287,0.5847442014684253
32427,7876,0.677745376622511
32440,8984,0.6252779788302211
32447,9048,0.6560391098992668
32430,8315,0.6754043885143979
32434,9338,0.633025589029845
32411,10488,0.6345645235226459
32445,9573,0.6506981551485236
32439,10025,0.6230452062971823
32441,9130,0.6544090713234817
32414,10928,0.6428892136056252
32438,9661,0.6425855720001382
32429,9029,0.6978571548837116
32402,9457,0.6346966194634167
32448,13854,0.5805829263566858
32412,11431,0.609670304569963
32423,9409,0.6630660362567586
32431,8647,0.7059223752753362
32442,8465,0.6578946497487387
32425,8266,0.7060390779623652
32437,10517,0.6237362812608253
32435,9611,0.6350407567721604
32406,12201,0.6083147065982888
32413,11991,0.6122173072053589
32416,9122,0.6416128443648282
32450,12825,0.6102424798969573
32446,9045,0.6785242179380727
32404,13189,0.5748529377438564
32405,13708,0.586583615561169
32407,12711,0.605203980601138
32419,8717,0.6515421339020964
32451,13263,0.5935471976602875
32408,10953,0.6078762414574206
32409,11033,0.6366357887130228
32432,10006,0.6297852449292157
32420,9113,0.6551364546040028
32417,9124,0.6272985578226942
32444,9138,0.6694929975191155
32426,7893,0.6911870665151553
32443,8826,0.6575598397798578
32436,10116,0.6629352946781282
32449,14068,0.6002966908695787
2987,48212,0.42563629969366756
2995,47138,0.42145120765336047
2996,27284,0.4147019233181021
2989,46276,0.4233607197542658
2994,44547,0.438061140443762
2991,53788,0.409660372156446
2990,51033,0.41294005554149954
2993,46365,0.4320395136563755
2988,43643,0.4454998239850603
2992,41747,0.45434716961025207
2985,13726,0.45305102368573835
2986,43347,0.44753367046422055
39337,42545,0.37482137265439736
39340,53966,0.34517547251528696
39335,61585,0.33280838530532686
39339,38868,0.3863066592157907
39333,64965,0.32763351987627554
39341,52560,0.3524445781656299
39332,32198,0.34341168260761346
39342,39153,0.37481058391048233
39334,55250,0.3363782099346537
39338,36654,0.39811963696562325
39336,35062,0.4091636652129147
31862,88231,0.3445315758353372
31860,6108,0.3363589088604586
31861,103042,0.3269022624594249
31863,89593,0.3375249449845323
31864,70491,0.3683929472890505
31866,61445,0.3728463828173643
31867,29517,0.3705661020436868
31865,72259,0.36365159922947027
15571,46193,0.4025510057112089
15561,17540,0.39523257227208786
15568,75293,0.352462110438083
15563,44737,0.4188279804601693
15565,50946,0.3908495449384977
15566,40408,0.4248839763909833
15562,46007,0.41133281928959997
15567,33673,0.477983066056319
15569,52953,0.40253277831617296
15564,41057,0.4271856068726275
15570,61574,0.37777149364552587
13995,61980,0.3500171084613499
13998,126966,0.32982758889839675
13997,114068,0.33271696755929214
13999,111185,0.3145150937114522
13996,98656,0.35124691713405554
1983,19715,0.4984190268948164
1976,39075,0.40483268145470636
1971,33534,0.42892694673411863
1969,33584,0.4297244270449344
1975,23273,0.4885952781237395
1968,30506,0.44748923604187274
1981,23409,0.5013595795720328
1970,36467,0.4208834504484676
1982,29736,0.4532597835027088
1974,28241,0.4575970557033233
1967,13358,0.4327009181895897
1973,27165,0.4648613560827866
1980,29399,0.4592821777480161
1978,38761,0.42181739677094204
1972,31332,0.43908065710014144
1979,33320,0.43504229681692247
1977,35157,0.4253126761016972
13022,29202,0.33884975464527717
13026,26015,0.2836206811345545
13023,112065,0.34209115690958064
13024,206340,0.27840846095982863
13025,145704,0.321281239011699
39756,6567,0.3808226413503427
39749,84128,0.3300897753713567
39752,46052,0.4292962479643478
39755,66008,0.35733118669506037
39753,49859,0.41100915959247386
39751,84685,0.33427343003636484
39748,39297,0.33663317967824113
39750,72993,0.3507524237419988
39754,57743,0.3848630684178699
47867,275199,0.22990898643398874
47869,11982,0.2468113801893458
47868,213159,0.24085093110956482
